Line,x,y,z,lotzeit
_min_120_120_1__,421971.246529,211611.090464,2700.35838853,635.45
_min_120_120_1__,421972.567691,211611.800766,2700.05305341,636.85
_min_120_120_1__,421973.888854,211612.511069,2699.79953296,638.2
_min_120_120_1__,421975.210016,211613.221371,2699.59379682,639.6
_min_120_120_1__,421976.531179,211613.931674,2699.36546442,640.95
_min_120_120_1__,421977.852341,211614.641976,2699.09734088,642.35
_min_120_120_1__,421979.173504,211615.352279,2698.90882325,643.7
_min_120_120_1__,421980.494666,211616.062581,2698.89153506,645.05
_min_120_120_1__,421981.820288,211616.76444,2698.90898635,646.45
_min_120_120_1__,421983.151809,211617.455131,2698.88624046,647.8
_min_120_120_1__,421984.483329,211618.145821,2698.82449848,649.2
_min_120_120_1__,421985.814849,211618.836511,2698.76690213,650.55
_min_120_120_1__,421987.14637,211619.527202,2698.7652736,651.95
_min_120_120_1__,421988.47789,211620.217892,2698.7204671,653.3
_min_120_120_1__,421989.809411,211620.908583,2698.47234579,654.7
_min_120_120_1__,421991.140931,211621.599273,2698.12920163,656.05
_min_120_120_1__,421992.472452,211622.289964,2697.81586348,657.4
_min_120_120_1__,421993.803972,211622.980654,2697.54741343,658.8
_min_120_120_1__,421995.135492,211623.671345,2697.31570618,660.15
_min_120_120_1__,421996.467013,211624.362035,2697.00672482,661.55
_min_120_120_1__,421997.798533,211625.052726,2696.67105246,662.9
_min_120_120_1__,421999.130054,211625.743416,2696.57691623,664.3
_min_120_120_1__,422000.461574,211626.434107,2696.55394206,665.65
_min_120_120_1__,422001.793095,211627.124797,2696.56164054,667.05
_min_120_120_1__,422003.124615,211627.815488,2696.52297852,668.4
_min_120_120_1__,422004.425947,211628.560216,2696.44140552,669.75
_min_120_120_1__,422005.712186,211629.331959,2696.37828641,671.15
_min_120_120_1__,422006.998426,211630.103703,2696.35061467,672.5
_min_120_120_1__,422008.284665,211630.875447,2696.0330879,673.9
_min_120_120_1__,422009.570904,211631.64719,2695.67108631,675.25
_min_120_120_1__,422010.857144,211632.418934,2695.25708834,676.65
_min_120_120_1__,422012.143383,211633.190678,2694.87225895,678
_min_120_120_1__,422013.429623,211633.962421,2694.53586023,679.35
_min_120_120_1__,422014.715862,211634.734165,2694.24789149,680.75
_min_120_120_1__,422016.002101,211635.505908,2694.08606998,682.1
_min_120_120_1__,422017.288341,211636.277652,2694.02024683,683.5
_min_120_120_1__,422018.57458,211637.049396,2693.9869756,684.85
_min_120_120_1__,422019.86082,211637.821139,2693.98625611,686.25
_min_120_120_1__,422021.147059,211638.592883,2693.97697926,687.6
_min_120_120_1__,422022.433298,211639.364627,2693.93368484,689
_min_120_120_1__,422023.719538,211640.13637,2693.81174729,690.35
_min_120_120_1__,422025.005777,211640.908114,2693.4811745,691.7
_min_120_120_1__,422026.292017,211641.679858,2693.24147147,693.1
_min_120_120_1__,422027.578256,211642.451601,2692.99143514,694.45
_min_120_120_1__,422028.864495,211643.223345,2692.73106489,695.85
_min_120_120_1__,422030.150735,211643.995088,2692.46198108,697.15
_min_120_120_1__,422031.436974,211644.766832,2692.21162712,698.35
_min_120_120_1__,422032.723213,211645.538576,2692.14627516,699.5
_min_120_120_1__,422034.009453,211646.310319,2692.14664842,700.6
_min_120_120_1__,422035.295692,211647.082063,2692.13851916,701.6
_min_120_120_1__,422036.581932,211647.853807,2692.13448822,702.65
_min_120_120_1__,422037.868082,211648.625697,2692.13361833,703.65
_min_120_120_1__,422039.146984,211649.40954,2692.13599486,704.65
_min_120_120_1__,422040.425886,211650.193383,2692.08790116,705.7
_min_120_120_1__,422041.704788,211650.977226,2691.88271321,706.7
_min_120_120_1__,422042.98369,211651.761069,2691.68071668,707.7
_min_120_120_1__,422044.262592,211652.544912,2691.48191157,708.7
_min_120_120_1__,422045.541494,211653.328755,2691.2877384,709.75
_min_120_120_1__,422046.820395,211654.112598,2691.09644703,710.75
_min_120_120_1__,422048.099297,211654.896441,2690.90515566,711.75
_min_120_120_1__,422049.378199,211655.680284,2690.87988281,712.8
_min_120_120_1__,422050.657101,211656.464127,2690.87988281,713.8
_min_120_120_1__,422051.936003,211657.247971,2690.87988281,714.8
_min_120_120_1__,422053.214905,211658.031814,2690.87988281,715.8
_min_120_120_1__,422054.493807,211658.815657,2690.87988281,716.85
_min_120_120_1__,422055.772709,211659.5995,2690.87852284,717.85
_min_120_120_1__,422057.05161,211660.383343,2690.79575466,718.85
_min_120_120_1__,422058.330512,211661.167186,2690.61536571,719.9
_min_120_120_1__,422059.609414,211661.951029,2690.42373826,720.9
_min_120_120_1__,422060.888316,211662.734872,2690.22564796,721.9
_min_120_120_1__,422062.167218,211663.518715,2690.03540656,722.9
_min_120_120_1__,422063.501709,211664.189897,2689.87865824,723.95
_min_120_120_1__,422064.901885,211664.727956,2689.7582896,724.95
_min_120_120_1__,422066.302061,211665.266015,2689.63584382,725.95
_min_120_120_1__,422067.702237,211665.804074,2689.58202752,726.95
_min_120_120_1__,422069.102412,211666.342133,2689.5438821,728
_min_120_120_1__,422070.502588,211666.880192,2689.52788709,729
_min_120_120_1__,422071.902764,211667.418251,2689.51783923,730
_min_120_120_1__,422073.30294,211667.956309,2689.49212052,731.05
_min_120_120_1__,422074.703116,211668.494368,2689.450731,732.05
_min_120_120_1__,422076.103292,211669.032427,2689.42158306,733.05
_min_120_120_1__,422077.503468,211669.570486,2689.42144962,734.05
_min_120_120_1__,422078.903644,211670.108545,2689.4163461,735.1
_min_120_120_1__,422080.30382,211670.646604,2689.26331129,736.1
_min_120_120_1__,422081.703996,211671.184663,2689.04620059,737.1
_min_120_120_1__,422083.104172,211671.722722,2688.85500194,738.15
_min_120_120_1__,422084.504348,211672.26078,2688.68971552,739.15
_min_120_120_1__,422085.904524,211672.798839,2688.52786662,740.15
_min_120_120_1__,422087.3047,211673.336898,2688.33050843,741.15
_min_120_120_1__,422088.704876,211673.874957,2688.09939542,742.2
_min_120_120_1__,422090.105051,211674.413016,2687.84358118,743.2
_min_120_120_1__,422091.505227,211674.951075,2687.70126747,744.2
_min_120_120_1__,422092.905403,211675.489134,2687.71289347,745.25
_min_120_120_1__,422094.305579,211676.027193,2687.7059211,746.25
_min_120_120_1__,422095.705755,211676.565251,2687.64243016,747.25
_min_120_120_1__,422097.105931,211677.10331,2687.5703793,747.75
_min_120_120_1__,422098.506107,211677.641369,2687.52786023,748.25
_min_120_120_1__,422228.017431,211760.977544,2672.90377719,515.9
_min_120_120_1__,422229.357323,211761.609483,2672.56608771,513.9
_min_120_120_1__,422230.779867,211762.085266,2672.20101453,511.9
_min_120_120_1__,422232.20241,211762.561049,2671.84314755,507.9
_min_120_120_1__,422233.624954,211763.036833,2671.54267783,503.95
_min_120_120_1__,422235.047498,211763.512616,2671.29592813,499.95
_min_120_120_1__,422236.470041,211763.988399,2670.9424642,495.95
_min_120_120_1__,422237.892585,211764.464182,2670.53485435,491.95
_min_120_120_1__,422239.315128,211764.939965,2670.07309892,487.95
_min_120_120_1__,422240.737672,211765.415748,2669.98079428,484
_min_120_120_1__,422242.160216,211765.891532,2670.01118244,480
_min_120_120_1__,422243.582759,211766.367315,2669.9874247,476
_min_120_120_1__,422245.005303,211766.843098,2669.90918901,472
_min_120_120_1__,422246.427847,211767.318881,2669.74455809,468.05
_min_120_120_1__,422247.85039,211767.794664,2669.63839573,464.05
_min_120_120_1__,422249.272934,211768.270447,2669.5907017,460.05
_min_120_120_1__,422250.695478,211768.746231,2669.52660274,456.05
_min_120_120_1__,422252.118021,211769.222014,2669.35564437,452.05
_min_120_120_1__,422253.540565,211769.697797,2669.12621738,448.1
_min_120_120_1__,422254.963108,211770.17358,2668.79020399,444.1
_min_120_120_1__,422256.385652,211770.649363,2668.60930949,440.1
_min_120_120_1__,422257.808196,211771.125147,2668.37137034,436.1
_min_120_120_1__,422259.230739,211771.60093,2668.06900129,432.1
_min_120_120_1__,422260.653283,211772.076713,2667.67358397,428.15
_min_120_120_1__,422262.075827,211772.552496,2667.27524318,424.15
_min_120_120_1__,422263.49837,211773.028279,2666.94295876,420.15
_min_120_120_1__,422264.920914,211773.504062,2666.67673049,416.15
_min_120_120_1__,422266.343457,211773.979846,2666.25041166,412.15
_min_120_120_1__,422267.766001,211774.455629,2665.74049253,408.2
_min_120_120_1__,422269.188545,211774.931412,2665.15638733,404.2
_min_120_120_1__,422270.611088,211775.407195,2664.99784616,400.2
_min_120_120_1__,422272.033632,211775.882978,2665.04344885,396.2
_min_120_120_1__,422273.456176,211776.358761,2665.01486547,392.25
_min_120_120_1__,422274.878719,211776.834545,2664.91209614,388.25
_min_120_120_1__,422276.301263,211777.310328,2664.6801288,384.25
_min_120_120_1__,422277.723806,211777.786111,2664.52124792,380.25
_min_120_120_1__,422279.14635,211778.261894,2664.44736624,376.25
_min_120_120_1__,422280.568894,211778.737677,2664.37005797,372.3
_min_120_120_1__,422281.991437,211779.21346,2664.12607067,368.3
_min_120_120_1__,422283.413981,211779.689244,2663.79708388,364.3
_min_120_120_1__,422284.836525,211780.165027,2663.33382749,360.3
_min_120_120_1__,422286.259068,211780.64081,2663.09931432,356.3
_min_120_120_1__,422287.681612,211781.116593,2662.82442242,352.35
_min_120_120_1__,422289.055741,211781.711445,2662.40171737,348.35
_min_120_120_1__,422290.406657,211782.363385,2661.83138371,344.35
_min_120_120_1__,422291.757573,211783.015325,2661.27717102,340.35
_min_120_120_1__,422293.108489,211783.667264,2660.83992885,336.4
_min_120_120_1__,422294.459405,211784.319204,2660.51965631,332.4
_min_120_120_1__,422295.810322,211784.971144,2660.03754359,328.4
_min_120_120_1__,422297.161238,211785.623083,2659.65167696,324.4
_min_120_120_1__,422298.512154,211786.275023,2659.39950828,320.4
_min_120_120_1__,422299.86307,211786.926963,2659.26993461,316.45
_min_120_120_1__,422301.213987,211787.578902,2659.249622,314.45
_min_120_120_1__,422302.564903,211788.230842,2659.11763728,312.45
_minhyp_112_112_1__,421826.234217,211982.207961,2661.87223291,133.15
_minhyp_112_112_1__,421827.149927,211981.019906,2661.60055918,136.65
_minhyp_112_112_1__,421828.065637,211979.831851,2661.429951,140.65
_minhyp_112_112_1__,421828.981348,211978.643796,2661.24045612,148.2
_minhyp_112_112_1__,421829.897058,211977.455741,2660.96654168,155.85
_minhyp_112_112_1__,421830.812768,211976.267686,2660.68592835,163.65
_minhyp_112_112_1__,421831.728478,211975.079631,2660.49008813,170.7
_minhyp_112_112_1__,421832.644189,211973.891576,2660.36468656,176.9
_minhyp_112_112_1__,421833.559899,211972.703521,2660.16793921,182.35
_minhyp_112_112_1__,421834.475609,211971.515466,2659.89548409,187.8
_minhyp_112_112_1__,421835.391319,211970.327411,2659.6064848,193.2
_minhyp_112_112_1__,421836.307029,211969.139355,2659.5154014,198.65
_minhyp_112_112_1__,421837.22274,211967.9513,2659.40979047,204.1
_minhyp_112_112_1__,421838.13845,211966.763245,2659.23716237,209.55
_minhyp_112_112_1__,421839.05416,211965.57519,2658.99751707,214.95
_minhyp_112_112_1__,421839.96987,211964.387135,2658.78900839,220.4
_minhyp_112_112_1__,421840.88558,211963.19908,2658.7459664,225.85
_minhyp_112_112_1__,421841.801291,211962.011025,2658.64028833,231.25
