x1,y1,G_dgm
422074.13784,212198.546007,2916.25500515
422073.516445,212197.76251,2916.97842775
422072.895051,212196.979012,2917.69715269
422072.273656,212196.195514,2918.41117998
422071.652261,212195.412017,2919.1205096
422071.030866,212194.628519,2919.83195395
422070.409472,212193.845021,2920.60990336
422069.788077,212193.061524,2921.3827012
422069.166682,212192.278026,2922.15034748
422068.545288,212191.494528,2922.9128422
422067.923893,212190.711031,2923.66339778
422067.302498,212189.927533,2924.22837406
422066.681103,212189.144035,2924.78792259
422066.059709,212188.360538,2925.3420434
422065.438314,212187.57704,2925.89073647
422064.584328,212187.274873,2926.4340018
422063.584328,212187.274873,2927.01536019
422062.584328,212187.274873,2927.59233203
422061.584328,212187.274873,2928.16428082
422060.584328,212187.274873,2928.73120656
422059.584328,212187.274873,2929.29310925
422058.584328,212187.274873,2929.83162378
422057.584328,212187.274873,2930.36733037
422056.584328,212187.274873,2930.90162876
422055.584328,212187.274873,2931.43451895
422054.584328,212187.274873,2931.96600093
422053.584328,212187.274873,2932.54797083
422052.584328,212187.274873,2933.13592231
422051.584328,212187.274873,2933.73269681
422050.584328,212187.274873,2934.36832985
422049.584328,212187.274873,2935.00306055
422048.584328,212187.274873,2935.67342992
422047.584328,212187.274873,2936.35027312
422046.584328,212187.274873,2937.02628233
422045.584328,212187.274873,2937.70145757
422044.584328,212187.274873,2938.37579881
422043.584328,212187.274873,2939.07403752
422042.716637,212187.702553,2939.77619268
422041.89133,212188.267236,2940.47512947
422041.066022,212188.83192,2941.17084791
422040.240715,212189.396604,2941.86334798
422039.415408,212189.961288,2942.49907432
422038.590101,212190.525972,2943.11369491
422037.764793,212191.090656,2943.72711785
422036.939486,212191.65534,2944.33934313
422036.114179,212192.220024,2944.95037075
422035.288871,212192.784708,2945.56124465
422034.463564,212193.349392,2946.16798805
422033.638257,212193.914076,2946.76946231
422032.81295,212194.47876,2947.36566743
422031.987642,212195.043443,2947.95660341
422031.162335,212195.608127,2948.58870746
422030.337028,212196.172811,2949.24318607
422029.511721,212196.737495,2949.89287678
422028.686413,212197.302179,2950.53777961
422027.861106,212197.866863,2951.17789454
422027.035799,212198.431547,2951.81339491
422026.210492,212198.996231,2952.18511468
422025.385184,212199.560915,2952.52439116
422024.559877,212200.125599,2952.92750888
422023.73457,212200.690283,2953.31147577
422022.909263,212201.254967,2953.6762918
422022.083955,212201.81965,2953.96165718
422021.258648,212202.384334,2954.19885934
422020.433341,212202.949018,2954.41519165
422019.608034,212203.513702,2954.6106541
422018.782726,212204.078386,2954.78524669
422017.957419,212204.64307,2954.97656664
422017.132112,212205.207754,2955.49706689
422016.306804,212205.772438,2956.02726247
422015.572828,212206.412166,2956.54388502
422015.178909,212207.331311,2957.04693457
422014.78499,212208.250456,2957.53641109
422014.39107,212209.169601,2958.0123146
422013.997151,212210.088746,2958.538051
422013.603232,212211.007891,2959.07732463
422013.209312,212211.927036,2959.60741229
422012.815393,212212.846181,2960.15534975
422012.421474,212213.765326,2960.69769901
422012.027554,212214.684471,2961.23429137
422011.633635,212215.603617,2961.75260763
422011.173716,212216.445264,2962.24888242
422010.203574,212216.687799,2962.72549604
422009.233431,212216.930335,2963.18244848
422008.263289,212217.17287,2963.61973974
422007.293146,212217.415406,2964.03736983
422006.323004,212217.657942,2964.62799066
422005.352861,212217.900477,2965.24884067
422004.382719,212218.143013,2965.85856189
422003.412576,212218.385549,2966.45715431
422002.442434,212218.628084,2967.04461793
422001.472291,212218.87062,2967.62095275
422000.502149,212219.113155,2968.2075184
421999.532006,212219.355691,2968.7211865
421998.561864,212219.598227,2969.14978629
421997.591721,212219.840762,2969.60943341
421996.621579,212220.083298,2970.05918185
421995.651436,212220.325834,2970.49903163
421994.681294,212220.568369,2970.92898273
421993.711151,212220.810905,2971.40380011
421992.741009,212221.05344,2971.903959
421991.770866,212221.295976,2972.44439872
421990.800724,212221.538512,2973.02470445
421989.830581,212221.781047,2973.59364467
421988.860439,212222.023583,2974.15121939
421987.944523,212222.167335,2974.69742862
421987.628295,212221.218652,2975.24103554
421987.312067,212220.269969,2975.78355431
421986.995839,212219.321285,2976.30733754
421986.679612,212218.372602,2976.82944846
421986.363384,212217.423919,2977.34398239
421986.047156,212216.475236,2977.85093931
421985.730928,212215.526552,2978.35031923
421985.414701,212214.577869,2978.84212215
421985.098473,212213.629186,2979.58993992
421984.782245,212212.680502,2980.51466841
421984.466017,212211.731819,2981.42786013
421984.14979,212210.783136,2982.32818066
421983.833562,212209.834452,2983.21563001
421983.517334,212208.885769,2984.09020817
421983.201106,212207.937086,2984.95191515
421982.884878,212206.988403,2985.8266317
421982.568651,212206.039719,2986.76303479
421982.252423,212205.091036,2987.70106014
421981.936195,212204.142353,2988.64070775
421981.619967,212203.193669,2989.58197761
421981.30374,212202.244986,2990.52486973
421980.987512,212201.296303,2991.4693841
421980.671284,212200.347619,2992.24629518
421980.355056,212199.398936,2992.6536323
