x_450000,y_5000000,G_DGM10m
425390.592046,210816.22078,2671.91202016
425389.055604,210817.501148,2671.10398651
425387.519161,210818.781517,2670.28245192
425386.127329,210820.18574,2669.44824528
425385.098337,210821.900726,2668.73376001
425384.069346,210823.615712,2667.98531621
425382.442162,210824.664135,2667.26538301
425380.626244,210825.502252,2666.53531208
425378.810325,210826.340368,2665.82292675
425376.994406,210827.178484,2665.13294839
425375.178487,210828.016601,2664.44626956
425373.362568,210828.854717,2663.76289028
425371.529702,210829.654222,2663.0920189
425369.683548,210830.423452,2662.51632071
425367.837395,210831.192683,2662.0473304
425365.991241,210831.961914,2661.55520076
425364.145087,210832.731145,2661.03993179
425362.298933,210833.500375,2660.50152349
425360.574962,210834.511573,2659.90794595
425358.859976,210835.540565,2659.25581595
425357.14499,210836.569556,2658.58077551
425355.430005,210837.598548,2657.90074598
425353.715019,210838.627539,2657.21572736
425351.906777,210839.478934,2656.54757042
425350.086044,210840.30654,2655.92293292
425348.265311,210841.134145,2655.30787979
425346.444578,210841.961751,2654.69437864
425344.623845,210842.789357,2654.08568941
425342.786591,210843.579025,2653.48088523
425340.940437,210844.348256,2652.88016519
425339.094284,210845.117487,2652.30264638
425337.24813,210845.886718,2651.75197465
425335.401976,210846.655948,2651.20976954
425333.555822,210847.425179,2650.67603106
425331.709668,210848.19441,2650.1507592
425329.863514,210848.963641,2649.63863023
425328.017361,210849.732871,2649.18548338
425326.171207,210850.502102,2648.77596057
425324.325053,210851.271333,2648.38855448
425322.442013,210851.929215,2647.98656199
425320.501728,210852.414286,2647.5652048
425318.580443,210852.966974,2647.17845102
425316.671483,210853.563524,2646.80350384
425314.762523,210854.160074,2646.42586538
425312.853563,210854.756624,2646.04553564
425310.944604,210855.353174,2645.66251462
425309.035644,210855.949724,2645.28096505
425307.126684,210856.546274,2644.90795343
425305.186032,210856.935158,2644.5315525
425303.892605,210855.490469,2644.24387468
425302.664724,210853.911764,2643.95489063
425301.436843,210852.33306,2643.65431179
425300.208962,210850.754356,2643.34213814
425298.98108,210849.175651,2643.1211072
425299.82504,210847.389892,2643.38389137
425300.310111,210845.449607,2643.5983518
425300.686235,210843.49591,2643.79689274
425300.033328,210841.916325,2643.73529363
425298.212595,210841.088719,2643.39418543
425296.391862,210840.261113,2643.04648628
425294.57113,210839.433508,2642.78071773
425292.750397,210838.605902,2642.56499837
425290.909511,210837.918897,2642.32676982
425288.929612,210838.20174,2641.89015998
425286.949713,210838.484583,2641.48624901
425284.969814,210838.767425,2641.08591188
425282.989915,210839.050268,2640.68914857
425281.010016,210839.333111,2640.29595909
425279.030524,210839.612746,2639.82288989
425277.18437,210838.843515,2639.4719432
425275.338217,210838.074285,2639.09282298
425273.492063,210837.305054,2638.68552921
425271.645909,210836.535823,2638.2500619
425269.799755,210835.766592,2637.79892313
425268.035396,210834.850277,2637.46138708
425266.407929,210833.687801,2637.158983
425264.780462,210832.525324,2636.8387131
425263.152995,210831.362848,2636.50057738
425261.366349,210830.499155,2636.0893886
425259.49369,210829.796908,2635.72030361
425257.621032,210829.094661,2635.55831628
425255.748374,210828.392415,2635.38537434
425253.754787,210828.357048,2635.00990698
425251.754787,210828.357048,2634.62400426
425249.790875,210828.134659,2634.30267017
425247.893509,210827.502203,2634.12698594
425245.996142,210826.869748,2633.94206733
425244.098776,210826.237292,2633.74791435
425242.196951,210825.618919,2633.54082934
425240.281298,210825.044224,2633.3135159
425238.365646,210824.469528,2633.02203224
425236.449993,210823.894832,2632.70700615
425234.53434,210823.320136,2632.37758964
425232.631911,210822.703672,2632.04304281
425230.734545,210822.071216,2631.69653495
425228.837178,210821.438761,2631.34231557
425226.939811,210820.806305,2630.98395435
425225.008597,210820.296051,2630.59583274
425223.056223,210819.86219,2630.20469895
425221.103849,210819.428329,2629.84303782
425219.151475,210818.994468,2629.46812812
425217.199101,210818.560607,2629.08124027
425215.246727,210818.126746,2628.6921231
425213.294352,210817.692885,2628.30077662
425211.341978,210817.259024,2627.90720081
425209.369292,210816.94243,2627.47909657
425207.384736,210816.694361,2627.0259944
425205.40018,210816.446291,2626.57216867
425203.415625,210816.198222,2626.11761938
425201.431069,210815.950152,2625.66234654
425199.446513,210815.702083,2625.22994865
425197.461957,210815.454013,2624.85759335
425195.473819,210815.237796,2624.4772086
425193.483744,210815.038789,2624.09215348
425191.49367,210814.839782,2623.70620303
425189.503596,210814.640774,2623.33637975
425187.513521,210814.441767,2623.01510205
425185.523447,210814.242759,2622.69008053
425183.533373,210814.043752,2622.36131521
425181.543298,210813.844744,2622.02880607
425179.553224,210813.645737,2621.70052386
425177.572775,210813.367421,2621.40953181
425175.592876,210813.084578,2621.11681736
425173.612977,210812.801735,2620.8216611
425171.633078,210812.518893,2620.52406305
425169.653179,210812.23605,2620.21322095
425167.67328,210811.953207,2619.84750422
425165.685887,210811.730792,2619.46921944
425163.696877,210811.521422,2619.08540787
425161.707866,210811.312053,2618.6977959
425159.718855,210811.102683,2618.30572875
425157.729844,210810.893313,2617.9073295
425155.740833,210810.683944,2617.50766345
425153.751822,210810.474574,2617.10673059
425151.762811,210810.265205,2616.70453093
425149.770997,210810.08662,2616.2936665
