4.249869500000000116e+05,2.112660499999999884e+05,2.624216728779999812e+03,8.200000000000000000e+01
4.249884189669999760e+05,2.112646927459999861e+05,2.624068505830000049e+03,8.686666666669999870e+01
4.249898879329999909e+05,2.112633354929999914e+05,2.623925179660000140e+03,9.091666666669999586e+01
4.249913569000000134e+05,2.112619782389999891e+05,2.623790131499999916e+03,9.456666666670000154e+01
4.249928258660000283e+05,2.112606209859999944e+05,2.623669155009999940e+03,9.841666666669999586e+01
4.249942948329999927e+05,2.112592637319999922e+05,2.623572517030000199e+03,1.020833333333000041e+02
4.249957637990000076e+05,2.112579064789999975e+05,2.623489829569999984e+03,1.085499999999999972e+02
4.249972327659999719e+05,2.112565492249999952e+05,2.623409887429999799e+03,1.142666666667000044e+02
4.249987017329999944e+05,2.112551919720000005e+05,2.623332690600000205e+03,1.223666666666999987e+02
4.250001706990000093e+05,2.112538347179999982e+05,2.623257675129999825e+03,1.303000000000000114e+02
4.250016396659999737e+05,2.112524774639999960e+05,2.623187255299999833e+03,1.377666666666999902e+02
4.250031086319999886e+05,2.112511202110000013e+05,2.623130581509999956e+03,1.443666666667000129e+02
4.250045775990000111e+05,2.112497629569999990e+05,2.623088847439999881e+03,1.499499999999999886e+02
4.250060465650000260e+05,2.112484057040000043e+05,2.623058884539999781e+03,1.549000000000000057e+02
4.250075155319999903e+05,2.112470484500000020e+05,2.623029700449999837e+03,1.603000000000000114e+02
4.250089844990000129e+05,2.112456911970000074e+05,2.623001295170000049e+03,1.660833333333000041e+02
4.250104534650000278e+05,2.112443339430000051e+05,2.622978004080000119e+03,1.716500000000000057e+02
4.250119224319999921e+05,2.112429766900000104e+05,2.622972144060000119e+03,1.765500000000000114e+02
4.250133913980000070e+05,2.112416194360000081e+05,2.622977674169999773e+03,1.816833333332999985e+02
4.250148603649999714e+05,2.112402621820000059e+05,2.622994594419999885e+03,1.875833333333000041e+02
4.250163293309999863e+05,2.112389049290000112e+05,2.623027285959999972e+03,1.935166666666999902e+02
4.250177982980000088e+05,2.112375476750000089e+05,2.623062021029999869e+03,1.993666666667000129e+02
4.250192672649999731e+05,2.112361904220000142e+05,2.623096639280000090e+03,2.057500000000000000e+02
4.250207362309999880e+05,2.112348331680000119e+05,2.623138492829999905e+03,2.123333333333000041e+02
4.250222051980000106e+05,2.112334759149999882e+05,2.623194788169999811e+03,2.190833333333000041e+02
4.250236741640000255e+05,2.112321186609999859e+05,2.623260614220000207e+03,2.250000000000000000e+02
4.250247745059999870e+05,2.112304485569999961e+05,2.623208998279999832e+03,2.291500000000000057e+02
4.250258748469999991e+05,2.112287784519999987e+05,2.623176102949999859e+03,2.324000000000000057e+02
4.250269751880000113e+05,2.112271083480000088e+05,2.623147841630000130e+03,2.353333333333000041e+02
4.250280755290000234e+05,2.112254382430000114e+05,2.623119355989999804e+03,2.378833333332999871e+02
4.250291758709999849e+05,2.112237681389999925e+05,2.623090646010000000e+03,2.407333333333000098e+02
4.250302762119999970e+05,2.112220980339999951e+05,2.623065807399999812e+03,2.438666666667000129e+02
4.250313765530000092e+05,2.112204279289999977e+05,2.623058599919999779e+03,2.473833333332999871e+02
4.250324768940000213e+05,2.112187578250000079e+05,2.623078421260000141e+03,2.505666666667000015e+02
4.250335772359999828e+05,2.112170877200000104e+05,2.623107077040000149e+03,2.540000000000000000e+02
4.250346775769999949e+05,2.112154176159999915e+05,2.623137365919999866e+03,2.575666666666999731e+02
4.250357779180000070e+05,2.112137475109999941e+05,2.623169287900000199e+03,2.608333333333000041e+02
4.250368782590000192e+05,2.112120774070000043e+05,2.623202842979999787e+03,2.642833333332999928e+02
4.250379786009999807e+05,2.112104073020000069e+05,2.623238031150000097e+03,2.678833333333000155e+02
4.250390789419999928e+05,2.112087371979999880e+05,2.623288854569999785e+03,2.707666666667000186e+02
4.250401792830000049e+05,2.112070670929999906e+05,2.623350962689999960e+03,2.744166666666999959e+02
4.250412796240000171e+05,2.112053969890000008e+05,2.623408705240000018e+03,2.788000000000000114e+02
4.250423799659999786e+05,2.112037268840000033e+05,2.623465756860000056e+03,2.844499999999999886e+02
4.250434803069999907e+05,2.112020567800000135e+05,2.623522117559999970e+03,2.901999999999999886e+02
4.250445806480000028e+05,2.112003866749999870e+05,2.623577787329999865e+03,2.954333333333000269e+02
4.250456809890000150e+05,2.111987165709999972e+05,2.623633661559999837e+03,3.005166666667000186e+02
4.250467813309999765e+05,2.111970464659999998e+05,2.623694890820000182e+03,3.060166666667000186e+02
4.250478816719999886e+05,2.111953763620000100e+05,2.623761961549999796e+03,3.130833333333000041e+02
4.250489820130000007e+05,2.111937062570000126e+05,2.623834873750000042e+03,3.201833333333000269e+02
4.250500823540000129e+05,2.111920361519999860e+05,2.623911126280000190e+03,3.267333333332999814e+02
4.250511826959999744e+05,2.111903660479999962e+05,2.623957732010000200e+03,3.320666666666999731e+02
4.250522830369999865e+05,2.111886959429999988e+05,2.623999533629999860e+03,3.367833333332999928e+02
4.250533833779999986e+05,2.111870258390000090e+05,2.624045412349999879e+03,3.414666666667000072e+02
4.250544837190000108e+05,2.111853557340000116e+05,2.624096872330000224e+03,3.471499999999999773e+02
