4.256764787730000098e+05,2.108629089549999917e+05
4.256744988739999826e+05,2.108626261130000057e+05
4.256725189750000136e+05,2.108623432700000121e+05
4.256705390759999864e+05,2.108620604269999894e+05
4.256686366099999868e+05,2.108614495720000123e+05
4.256667392429999891e+05,2.108608171169999987e+05
4.256648820849999902e+05,2.108600992919999990e+05
4.256631860880000168e+05,2.108590392939999874e+05
4.256614900919999927e+05,2.108579792970000126e+05
4.256597940950000193e+05,2.108569192990000010e+05
4.256580713020000258e+05,2.108559205469999870e+05
4.256561417750000255e+05,2.108553943119999894e+05
4.256542122470000177e+05,2.108548680769999919e+05
4.256522827190000098e+05,2.108543418419999944e+05
4.256503531920000096e+05,2.108538156069999968e+05
4.256484365649999818e+05,2.108532508779999916e+05
4.256465796119999723e+05,2.108525080970000126e+05
4.256447226590000209e+05,2.108517653160000045e+05
4.256431154519999982e+05,2.108505939530000032e+05
4.256415537139999797e+05,2.108493445629999915e+05
4.256400521009999793e+05,2.108480505680000060e+05
4.256393093200000003e+05,2.108461936149999965e+05
4.256385665390000213e+05,2.108443366610000085e+05
4.256373258020000067e+05,2.108428080579999951e+05
4.256359115890000248e+05,2.108413938440000056e+05
4.256343879040000029e+05,2.108401315140000079e+05
4.256325990490000113e+05,2.108392370869999868e+05
4.256307447580000153e+05,2.108385438889999932e+05
4.256287719710000092e+05,2.108382150909999909e+05
4.256267991829999955e+05,2.108378862929999887e+05
4.256248067499999888e+05,2.108377948589999869e+05
4.256228960460000089e+05,2.108374165970000031e+05
4.256211071910000173e+05,2.108365221690000035e+05
4.256193183369999751e+05,2.108356277420000115e+05
4.256175566220000037e+05,2.108346826040000014e+05
4.256158201359999948e+05,2.108336903260000108e+05
4.256140836499999859e+05,2.108326980489999987e+05
4.256123457349999808e+05,2.108317084399999876e+05
4.256105568809999968e+05,2.108308140119999880e+05
4.256087680260000052e+05,2.108299195849999960e+05
4.256069791720000212e+05,2.108290251580000040e+05
4.256051903169999714e+05,2.108281307310000120e+05
4.256034366220000084e+05,2.108271794149999914e+05
4.256018366219999734e+05,2.108259794150000089e+05
4.256002366219999967e+05,2.108247794149999972e+05
4.255986366220000200e+05,2.108235794149999856e+05
4.255970366219999851e+05,2.108223794150000031e+05
4.255962365770000033e+05,2.108205921099999978e+05
4.255955709369999822e+05,2.108187061300000059e+05
4.255949052970000193e+05,2.108168201490000065e+05
4.255942396569999983e+05,2.108149341680000070e+05
4.255935740169999772e+05,2.108130481879999861e+05
4.255929083760000067e+05,2.108111622069999867e+05
4.255922427359999856e+05,2.108092762259999872e+05
4.255916620049999910e+05,2.108073988130000071e+05
4.255926909970000270e+05,2.108056838280000084e+05
4.255937199890000047e+05,2.108039688420000020e+05
4.255936679349999758e+05,2.108022538559999957e+05
4.255926389440000057e+05,2.108005388699999894e+05
4.255916095039999927e+05,2.107988245210000023e+05
4.255896483419999713e+05,2.107984322889999894e+05
4.255876871810000157e+05,2.107980400559999980e+05
4.255860426020000014e+05,2.107969684429999907e+05
4.255844808639999828e+05,2.107957190530000080e+05
4.255829135859999806e+05,2.107944789100000053e+05
4.255810752959999954e+05,2.107936910710000084e+05
4.255792370060000103e+05,2.107929032320000115e+05
4.255773987160000252e+05,2.107921153939999931e+05
4.255758667750000022e+05,2.107908750669999863e+05
4.255744525620000204e+05,2.107894608540000045e+05
4.255730383479999728e+05,2.107880466399999859e+05
4.255716492149999831e+05,2.107866143499999889e+05
4.255707547870000126e+05,2.107848254949999973e+05
4.255698773159999982e+05,2.107830290270000114e+05
4.255691345340000116e+05,2.107811720729999943e+05
4.255683917529999744e+05,2.107793151200000138e+05
4.255672538049999857e+05,2.107776884420000133e+05
4.255660044149999740e+05,2.107761267039999948e+05
4.255647495750000235e+05,2.107745745070000121e+05
4.255627696759999963e+05,2.107742916639999894e+05
4.255607897770000272e+05,2.107740088220000034e+05
4.255588098780000000e+05,2.107737259790000098e+05
4.255568299789999728e+05,2.107734431359999871e+05
4.255548500800000038e+05,2.107731602929999935e+05
4.255528701809999766e+05,2.107728774510000076e+05
4.255508902820000076e+05,2.107725946080000140e+05
4.255489103829999804e+05,2.107723117649999913e+05
4.255469304840000113e+05,2.107720289230000053e+05
4.255449831520000007e+05,2.107715798260000010e+05
4.255430428669999819e+05,2.107710947549999983e+05
4.255411025820000214e+05,2.107706096839999955e+05
4.255391503559999983e+05,2.107701910569999891e+05
4.255371625890000141e+05,2.107699701939999941e+05
4.255351748210000223e+05,2.107697493309999991e+05
4.255331870539999800e+05,2.107695284680000041e+05
4.255311952440000023e+05,2.107693805970000103e+05
4.255291952440000023e+05,2.107693805970000103e+05
4.255271952440000023e+05,2.107693805970000103e+05
4.255251952440000023e+05,2.107693805970000103e+05
4.255231952440000023e+05,2.107693805970000103e+05
4.255212372890000115e+05,2.107695249820000026e+05
4.255195499660000205e+05,2.107705987329999916e+05
4.255178626429999713e+05,2.107716724840000097e+05
4.255161753199999803e+05,2.107727462349999987e+05
4.255144879969999893e+05,2.107738199859999877e+05
4.255128006739999983e+05,2.107748937370000058e+05
4.255110504910000018e+05,2.107758523059999861e+05
4.255092345719999867e+05,2.107766904220000142e+05
4.255074186529999715e+05,2.107775285380000132e+05
4.255056027350000222e+05,2.107783666549999907e+05
4.255037868160000071e+05,2.107792047709999897e+05
4.255019708969999920e+05,2.107800428869999887e+05
4.255004452080000192e+05,2.107811671459999925e+05
4.254996329309999710e+05,2.107829947690000117e+05
4.254988206539999810e+05,2.107848223920000019e+05
4.254980083769999910e+05,2.107866500149999920e+05
4.254971720719999867e+05,2.107884546770000015e+05
4.254953739979999955e+05,2.107893231359999918e+05
4.254934216240000096e+05,2.107897569969999895e+05
4.254914692490000161e+05,2.107901908579999872e+05
4.254895168749999721e+05,2.107906247190000140e+05
4.254875617230000207e+05,2.107910392350000038e+05
4.254855661529999925e+05,2.107911722730000038e+05
4.254835705830000225e+05,2.107913053110000037e+05
4.254815750119999866e+05,2.107914383490000037e+05
4.254795794420000166e+05,2.107915713870000036e+05
4.254775838719999883e+05,2.107917044250000035e+05
4.254755883020000183e+05,2.107918374630000035e+05
4.254736027490000124e+05,2.107917307490000094e+05
4.254716252339999774e+05,2.107914316960000142e+05
4.254696477190000005e+05,2.107911326420000114e+05
4.254684984420000110e+05,2.107927065660000080e+05
4.254672113380000228e+05,2.107942077460000000e+05
4.254656496000000043e+05,2.107954571360000118e+05
4.254640878629999934e+05,2.107967065259999945e+05
4.254625261249999749e+05,2.107979559160000063e+05
4.254609643870000145e+05,2.107992053059999889e+05
4.254594026500000036e+05,2.108004546960000007e+05
4.254575906490000198e+05,2.108012746190000034e+05
4.254557336960000102e+05,2.108020174009999901e+05
4.254538029390000156e+05,2.108023769489999977e+05
4.254518029390000156e+05,2.108023769489999977e+05
4.254498267960000085e+05,2.108026494219999877e+05
4.254478572290000156e+05,2.108029969930000079e+05
4.254458876620000228e+05,2.108033445629999915e+05
4.254439180949999718e+05,2.108036921340000117e+05
4.254419485279999790e+05,2.108040397050000029e+05
4.254399789599999785e+05,2.108043872749999864e+05
4.254380093929999857e+05,2.108047348460000067e+05
4.254360621479999973e+05,2.108051704939999909e+05
4.254341647820000071e+05,2.108058029500000121e+05
4.254322674150000094e+05,2.108064354060000041e+05
4.254305031559999916e+05,2.108060739119999926e+05
4.254288390559999971e+05,2.108049645109999983e+05
4.254271749549999950e+05,2.108038551110000117e+05
4.254256828460000106e+05,2.108025543070000131e+05
4.254244024770000251e+05,2.108010178650000016e+05
4.254231221079999814e+05,2.107994814220000117e+05
4.254218328580000089e+05,2.107979530899999954e+05
4.254204186450000270e+05,2.107965388770000136e+05
4.254190044309999794e+05,2.107951246629999951e+05
4.254177782649999717e+05,2.107935562870000140e+05
4.254166351220000070e+05,2.107919275740000012e+05
4.254149201369999791e+05,2.107908985830000020e+05
4.254132051510000019e+05,2.107898695909999951e+05
4.254118656460000202e+05,2.107903040719999990e+05
4.254108579039999750e+05,2.107920316300000122e+05
4.254098501619999879e+05,2.107937591879999964e+05
4.254088424200000009e+05,2.107954867450000020e+05
4.254078346780000138e+05,2.107972143029999861e+05
4.254068269350000191e+05,2.107989418609999993e+05
4.254057922580000013e+05,2.108006531499999983e+05
4.254047322600000189e+05,2.108023491470000008e+05
4.254036722619999782e+05,2.108040451440000033e+05
4.254026122639999958e+05,2.108057411399999983e+05
4.254013471439999994e+05,2.108072581979999959e+05
4.253998107019999879e+05,2.108085385670000105e+05
4.253982742590000271e+05,2.108098189359999960e+05
4.253967378170000156e+05,2.108110993040000030e+05
4.253952013739999966e+05,2.108123796729999885e+05
4.253936649309999775e+05,2.108136600420000032e+05
4.253921284890000243e+05,2.108149404109999887e+05
4.253905920460000052e+05,2.108162207800000033e+05
4.253890556039999938e+05,2.108175011480000103e+05
4.253875191609999747e+05,2.108187815169999958e+05
4.253861273289999808e+05,2.108201857399999863e+05
4.253850983370000031e+05,2.108219007259999926e+05
4.253840693459999748e+05,2.108236157119999989e+05
4.253824421619999921e+05,2.108246641349999991e+05
4.253806262439999846e+05,2.108255022520000057e+05
4.253788103250000277e+05,2.108263403680000047e+05
4.253769944060000125e+05,2.108271784840000037e+05
4.253751784869999974e+05,2.108280166010000103e+05
4.253733625679999823e+05,2.108288547170000093e+05
4.253715297020000289e+05,2.108296542220000119e+05
4.253696835480000009e+05,2.108304234519999882e+05
4.253678373949999805e+05,2.108311926830000011e+05
4.253659912410000106e+05,2.108319619140000141e+05
4.253641450869999826e+05,2.108327311449999979e+05
4.253622989330000128e+05,2.108335003750000033e+05
4.253605749620000133e+05,2.108345115729999961e+05
4.253588599759999779e+05,2.108355405650000030e+05
4.253571449900000007e+05,2.108365695560000022e+05
4.253554300049999729e+05,2.108375985480000090e+05
4.253537150189999957e+05,2.108386275390000083e+05
4.253519067769999965e+05,2.108394789340000134e+05
4.253500860439999960e+05,2.108403065399999905e+05
4.253482653109999956e+05,2.108411341449999891e+05
4.253464445779999951e+05,2.108419617509999953e+05
4.253446238449999946e+05,2.108427893570000015e+05
4.253427865909999819e+05,2.108435790250000136e+05
4.253409404370000120e+05,2.108443482559999975e+05
4.253390942839999916e+05,2.108451174870000104e+05
4.253372481300000218e+05,2.108458867179999943e+05
4.253354019759999937e+05,2.108466559479999996e+05
4.253335558220000239e+05,2.108474251790000126e+05
4.253317096679999959e+05,2.108481944099999964e+05
4.253298635140000260e+05,2.108489636410000094e+05
4.253280173610000056e+05,2.108497328709999856e+05
4.253261712069999776e+05,2.108505021019999986e+05
4.253243250530000078e+05,2.108512713330000115e+05
4.253224420130000217e+05,2.108519292150000110e+05
4.253205017280000029e+05,2.108524142860000138e+05
4.253185804430000135e+05,2.108529669740000099e+05
4.253166714829999837e+05,2.108535635239999974e+05
4.253147625230000122e+05,2.108541600740000140e+05
4.253128535629999824e+05,2.108547566240000015e+05
4.253109446040000184e+05,2.108553531739999889e+05
4.253090356439999887e+05,2.108559497240000055e+05
4.253071266840000171e+05,2.108565462739999930e+05
4.253051860319999978e+05,2.108569351580000075e+05
4.253038926050000009e+05,2.108554904690000112e+05
4.253026647239999729e+05,2.108539117639999895e+05
4.253014368430000031e+05,2.108523330600000045e+05
4.253002089619999751e+05,2.108507543559999904e+05
4.252989810799999977e+05,2.108491756509999977e+05
4.252998250400000252e+05,2.108473898920000065e+05
4.253003101110000280e+05,2.108454496069999877e+05
4.253006862349999719e+05,2.108434959099999978e+05
4.253000333279999904e+05,2.108419163249999983e+05
4.252982125949999900e+05,2.108410887189999921e+05
4.252963918619999895e+05,2.108402611129999859e+05
4.252945711299999966e+05,2.108394335079999873e+05
4.252927503969999962e+05,2.108386059020000102e+05
4.252909095109999762e+05,2.108379188969999959e+05
4.252889296120000072e+05,2.108382017399999895e+05
4.252869497129999800e+05,2.108384845830000122e+05
4.252849698140000110e+05,2.108387674249999982e+05
4.252829899149999837e+05,2.108390502679999918e+05
4.252810100160000147e+05,2.108393331110000145e+05
4.252790305240000016e+05,2.108396127459999989e+05
4.252771843699999736e+05,2.108388435149999859e+05
4.252753382170000114e+05,2.108380742850000097e+05
4.252734920629999833e+05,2.108373050539999967e+05
4.252716459090000135e+05,2.108365358230000129e+05
4.252697997549999855e+05,2.108357665919999999e+05
4.252680353960000211e+05,2.108348502769999905e+05
4.252664079289999790e+05,2.108336878009999928e+05
4.252647804619999952e+05,2.108325253239999874e+05
4.252631529950000113e+05,2.108313628479999898e+05
4.252613663490000181e+05,2.108304991549999977e+05
4.252594936899999739e+05,2.108297969079999893e+05
4.252576210319999955e+05,2.108290946610000101e+05
4.252557483740000171e+05,2.108283924150000094e+05
