Line,x_450000,y_5000000,G_DGM10m,lotzeit
profil_1_,425091.895322,211128.57218,2626.99330586,446.7833333333
profil_1_,425092.995663,211126.902076,2627.073107,449.15
profil_1_,425094.096004,211125.231971,2627.15603077,451.2333333333
profil_1_,425095.196346,211123.561867,2627.24207717,452.35
profil_1_,425096.296687,211121.891762,2627.33124619,452.55
profil_1_,425097.397028,211120.221658,2627.42353785,453.0333333333
profil_1_,425098.497369,211118.551553,2627.51195287,454.1333333333
profil_1_,425099.597711,211116.881449,2627.59539058,455.6
profil_1_,425100.698052,211115.211344,2627.66928429,456.55
profil_1_,425101.798393,211113.54124,2627.74188257,456.75
profil_1_,425102.898734,211111.871135,2627.81750478,457.7
profil_1_,425103.999076,211110.201031,2627.89615091,459.4833333333
profil_1_,425105.099417,211108.530926,2627.97621224,461.4
profil_1_,425106.199758,211106.860822,2628.05241526,462.2833333333
profil_1_,425107.300099,211105.190717,2628.12455347,462.55
profil_1_,425108.400441,211103.520613,2628.19262689,462.4833333333
profil_1_,425109.500782,211101.850508,2628.2566355,462.35
profil_1_,425110.601123,211100.180403,2628.31751502,462.2833333333
profil_1_,425111.701464,211098.510299,2628.38453889,462.3666666667
profil_1_,425112.801806,211096.840194,2628.44809064,462.7
profil_1_,425113.902147,211095.17009,2628.5072725,463.1833333333
profil_1_,425115.002488,211093.499985,2628.56208448,463.2666666667
profil_1_,425116.102829,211091.829881,2628.61252657,462.35
profil_1_,425117.203171,211090.159776,2628.65859878,462.5666666667
profil_1_,425118.303512,211088.489672,2628.70730718,463.5666666667
profil_1_,425119.403853,211086.819567,2628.75858117,465
profil_1_,425120.504194,211085.149463,2628.80776677,464.6666666667
profil_1_,425121.604536,211083.479358,2628.84934391,462.5
profil_1_,425122.704877,211081.809254,2628.88654219,459.3166666667
profil_1_,425123.805218,211080.139149,2628.91936161,456.8
profil_1_,425124.905559,211078.469045,2628.94171441,455.6666666667
profil_1_,425126.005901,211076.79894,2628.9653953,456.2
profil_1_,425127.106242,211075.128836,2628.99122972,456.5666666667
profil_1_,425128.206583,211073.458731,2629.01921768,457.2333333333
profil_1_,425129.306924,211071.788626,2629.04935918,456.6
profil_1_,425130.407266,211070.118522,2629.0747856,454.1166666667
profil_1_,425131.507607,211068.448417,2629.07054737,449.45
profil_1_,425132.607948,211066.778313,2629.06734989,444.9666666667
profil_1_,425133.708289,211065.108208,2629.06663794,442.2333333333
profil_1_,425134.808631,211063.438104,2629.06841154,441.0166666667
profil_1_,425135.908972,211061.767999,2629.07267067,439.4666666667
profil_1_,425136.688892,211059.926336,2629.01530697,436.5666666667
profil_1_,425137.468813,211058.084672,2628.95170867,433.0666666667
profil_1_,425138.248733,211056.243009,2628.88497537,429.8333333333
profil_1_,425139.028654,211054.401346,2628.81510706,426.3166666667
profil_1_,425139.808574,211052.559682,2628.74210376,421.1166666667
profil_1_,425140.588494,211050.718019,2628.67256854,415.15
profil_1_,425141.368415,211048.876355,2628.6150814,408.9333333333
profil_1_,425142.148335,211047.034692,2628.56113701,405.2166666667
profil_1_,425142.928256,211045.193029,2628.50433114,403.9833333333
profil_1_,425143.708176,211043.351365,2628.4446638,404.4333333333
profil_1_,425144.488096,211041.509702,2628.38213497,403.7166666667
profil_1_,425145.268017,211039.668038,2628.31719992,401.6833333333
profil_1_,425146.047937,211037.826375,2628.25474348,398.45
profil_1_,425146.827858,211035.984711,2628.19496617,395.85
profil_1_,425147.607778,211034.143048,2628.13786799,393.9833333333
profil_1_,425148.387699,211032.301385,2628.08344895,391.7666666667
profil_1_,425149.167619,211030.459721,2628.03170903,389.0666666667
profil_1_,425149.947539,211028.618058,2627.96360095,385.6666666667
profil_1_,425150.72746,211026.776394,2627.89146603,382.7
profil_1_,425151.50738,211024.934731,2627.82221993,380.5166666667
profil_1_,425152.287301,211023.093068,2627.75571608,378.6666666667
profil_1_,425153.067221,211021.251404,2627.69195449,376.8666666667
profil_1_,425153.847141,211019.409741,2627.62717938,375.5
profil_1_,425154.627062,211017.568077,2627.55313214,373.75
profil_1_,425155.406982,211015.726414,2627.4756904,370.8666666667
profil_1_,425156.186903,211013.88475,2627.39485416,366.4666666667
profil_1_,425156.966823,211012.043087,2627.31062342,362.1
profil_1_,425157.746744,211010.201424,2627.22299818,358.8
profil_1_,425158.526664,211008.35976,2627.14278196,356.5166666667
profil_1_,425159.306584,211006.518097,2627.06568251,354.2833333333
profil_1_,425160.086505,211004.676433,2626.99130418,350.9833333333
profil_1_,425160.866425,211002.83477,2626.92128552,347.3166666667
profil_1_,425161.646346,211000.993107,2626.84833524,343.2666666667
profil_1_,425162.426266,210999.151443,2626.77416625,339.1833333333
profil_1_,425163.206187,210997.30978,2626.7032861,335.2333333333
profil_1_,425163.986107,210995.468116,2626.63524639,331.3833333333
profil_1_,425164.766027,210993.626453,2626.57004712,326.9666666667
profil_1_,425165.545948,210991.784789,2626.50768829,322.55
